Category,Question,Total in Agreement,Strongly Agree,Agree,Undecided,Disagree,Disagree,Total Disagree,Did Not Answer,Total Positive,Wording
Belonging,1. I feel valued for my unique skills and talents,68.90%,15.10%,53.80%,11.80%,14.30%,5.00%,19.30%,0.00%,68.90%,0
Belonging,2. School is a welcoming and friendly place,79.00%,13.40%,65.50%,15.10%,4.20%,1.70%,5.90%,0.00%,79.00%,0
Belonging,3. I am proud of my school,82.90%,32.50%,50.40%,9.40%,6.00%,1.70%,7.70%,1.70%,82.90%,0
Belonging,4. I think bullying is a problem at my school,50.80%,11.00%,39.80%,23.70%,23.70%,1.70%,25.40%,0.80%,25.40%,1
Belonging,5. I feel comfortable in the staff room,64.40%,16.10%,48.30%,15.30%,12.70%,7.60%,20.30%,0.80%,64.40%,0
Belonging,6. Building administration makes an effort to get to know me,43.60%,9.40%,34.20%,17.10%,23.10%,16.20%,39.30%,1.70%,43.60%,0
Belonging,7. I feel accepted for who I am at school,72.40%,24.10%,48.30%,14.70%,6.90%,6.00%,12.90%,2.50%,72.40%,0
Belonging,8. I am a valued member of my school community,72.60%,21.40%,51.30%,12.00%,9.40%,6.00%,15.40%,1.70%,72.60%,0
Heroes,9. Students care if I am absent from school,89.10%,24.40%,64.70%,9.20%,0.80%,0.80%,1.60%,0.00%,89.10%,0
Heroes,10. I have a colleague at school who is a positive role model for me,85.70%,47.10%,38.70%,7.60%,6.70%,0.00%,6.70%,0.00%,85.70%,0
Heroes,"11. If I have a problem, I have a colleague with whom I can talk",88.20%,44.50%,43.70%,3.40%,5.00%,3.40%,8.40%,0.00%,88.20%,0
Heroes,12. I know my students' hopes and dreams,72.60%,11.10%,61.50%,23.90%,3.40%,0.00%,3.40%,1.70%,72.60%,0
Heroes,13. Staff respect each other,60.20%,6.80%,53.40%,22.00%,16.10%,1.70%,17.80%,0.80%,60.20%,0
Heroes,14. Students respect me,94.90%,30.50%,64.40%,5.10%,0.00%,0.00%,0.00%,0.80%,94.90%,0
Heroes,15. I respect students,99.10%,66.70%,32.50%,0.90%,0.00%,0.00%,0.00%,1.70%,99.10%,0
Heroes,16. Students care about me as an individual,84.50%,20.70%,63.80%,14.70%,0.90%,0.00%,0.90%,2.50%,84.50%,0
Sense of Accomplishment,17. I have never been recognized for something positive at school,22.90%,5.90%,16.90%,4.20%,53.40%,19.50%,72.90%,0.80%,72.90%,1
Sense of Accomplishment,18. I actively encourage students,97.50%,58.80%,38.70%,2.50%,0.00%,0.00%,0.00%,0.00%,97.50%,0
Sense of Accomplishment,19. I receive constructive feedback from colleagues,65.30%,5.90%,59.30%,15.30%,19.50%,0.00%,19.50%,0.80%,65.30%,0
